积极态度类标为1，中立态度类标为0，消极态度类标为-1
微博 	      人工类标 机器类标 匹配情况
1	 		1 		1 		Y
2	 		1 		1 		Y
3	 		1 		-1 		N
4	 		1 		1 		Y
5	 		1 		1 		Y
6	 		1 		1 		Y
7	 		1 		1 		Y
8	 		0 		-1 		N
9	 		1 		1 		Y
10	 		1 		0 		N
11	 		1 		1 		Y
12	 		1 		1 		Y
13	 		1 		1 		Y
14	 		-1 		-1 		Y
15	 		1 		1 		Y
16	 		1 		-1 		N
17	 		-1 		1 		N
18	 		-1 		-1 		Y
19	 		1 		1 		Y
20	 		-1 		-1 		Y
21	 		1 		1 		Y
22	 		1 		1 		Y
23	 		1 		1 		Y
24	 		1 		1 		Y
25	 		-1 		1 		N
26	 		1 		0 		N
27	 		-1 		-1 		Y
28	 		-1 		1 		N
29	 		1 		1 		Y
30	 		1 		1 		Y
31	 		1 		1 		Y
32	 		1 		1 		Y
33	 		0 		1 		N
34	 		0 		1 		N
35	 		-1 		1 		N
36	 		1 		1 		Y
37	 		1 		1 		Y
38	 		1 		1 		Y
39	 		1 		1 		Y
40	 		1 		1 		Y
41	 		-1 		-1 		Y
42	 		1 		1 		Y
43	 		1 		-1 		N
44	 		1 		-1 		N
45	 		1 		1 		Y
46	 		-1 		-1 		Y
47	 		0 		1 		N
48	 		1 		1 		Y
49	 		1 		1 		Y
50	 		1 		1 		Y
51	 		1 		-1 		N
52	 		1 		1 		Y
53	 		-1 		-1 		Y
54	 		1 		-1 		N
55	 		-1 		1 		N
56	 		1 		1 		Y
57	 		1 		1 		Y
58	 		1 		1 		Y
59	 		1 		1 		Y
60	 		-1 		1 		N
61	 		-1 		1 		N
62	 		1 		1 		Y
63	 		0 		-1 		N
64	 		1 		1 		Y
65	 		-1 		1 		N
66	 		0 		1 		N
67	 		1 		1 		Y
68	 		1 		1 		Y
69	 		1 		-1 		N
70	 		1 		1 		Y
71	 		1 		1 		Y
72	 		0 		0 		Y
73	 		-1 		-1 		Y
74	 		0 		0 		Y
75	 		0 		0 		Y
76	 		1 		-1 		N
77	 		0 		0 		Y
78	 		1 		0 		N
79	 		0 		1 		N
80	 		1 		1 		Y
81	 		0 		0 		Y
82	 		-1 		-1 		Y
83	 		1 		1 		Y
84	 		1 		1 		Y
85	 		1 		1 		Y
86	 		-1 		-1 		Y
87	 		1 		1 		Y
88	 		0 		1 		N
89	 		-1 		1 		N
90	 		1 		1 		Y
91	 		0 		-1 		N
92	 		-1 		1 		N
93	 		-1 		-1 		Y
94	 		-1 		-1 		Y
95	 		1 		1 		Y
96	 		1 		1 		Y
97	 		1 		1 		Y
98	 		-1 		-1 		Y
99	 		1 		1 		Y
100	 		1 		1 		Y
匹配成功：70对，准确率70.0%
