essay_id    pred    true
2    0.526169845834    0.7
4    0.574992448092    0.8
6    0.57177644223    0.6
8    0.594192527235    0.8
14    0.645581558347    0.4
40    0.577027350664    0.5
44    0.514427283779    0.6
47    0.63582958281    0.6
49    0.630905523896    0.4
50    0.528736744076    0.3
53    0.630037233233    0.6
64    0.597409524024    0.5
70    0.510341217741    1.0
72    0.580473802984    0.8
78    0.723862618208    0.8
79    0.498770869803    0.8
88    0.508397660218    0.7
89    0.591515168548    0.4
90    0.609061315656    0.5
98    0.535011291504    0.9
99    0.595091037452    0.6
104    0.567989327013    0.8
108    0.60984287411    0.6
109    0.518547318876    0.6
112    0.467938628048    0.7
115    0.555013883859    0.7
116    0.644162431359    0.2
119    0.448424071074    0.8
126    0.617075562477    0.6
134    0.570835717022    0.8
137    0.554881129414    0.5
138    0.634440809488    0.8
143    0.617355577648    0.5
147    0.586253836751    1.0
156    0.597232677042    0.6
166    0.549345113337    0.8
167    0.587566882372    0.6
172    0.569321885705    0.6
191    0.598221465945    0.6
192    0.562930822372    0.9
196    0.593513526022    0.6
200    0.586447924376    0.6
206    0.585599482059    0.8
211    0.534134566784    0.4
216    0.629324451089    0.6
219    0.490086517297    0.7
223    0.584467254579    0.6
227    0.55176172033    0.7
228    0.622764013708    0.6
230    0.521329220384    0.7
235    0.541348669678    0.5
246    0.571111626923    0.9
247    0.524491125718    0.6
253    0.569327928126    0.4
255    0.509123610333    0.6
263    0.560177735984    0.8
267    0.559015665203    0.8
278    0.535571157932    0.6
279    0.62034637481    0.8
280    0.601292833686    0.8
281    0.516367528588    0.5
285    0.500546186871    0.9
286    0.58201828599    0.2
296    0.603637434542    0.8
300    0.58357501775    0.6
315    0.620591193438    0.8
320    0.619695082307    0.6
321    0.543109811842    1.0
326    0.54161863029    0.8
340    0.599486812949    0.7
341    0.516956398264    0.6
342    0.6432916224    0.7
343    0.522277893499    0.7
347    0.488658599555    0.5
350    0.516619889066    0.6
354    0.536443457007    0.6
369    0.495071338955    0.6
371    0.672856166959    0.6
377    0.571799166501    0.8
381    0.569777429104    0.8
389    0.568834990263    0.6
393    0.588853694499    0.6
398    0.516393873841    0.8
399    0.564472667873    0.6
400    0.60311023891    0.6
403    0.540806110948    0.6
405    0.655442968011    0.7
420    0.629213064909    0.6
421    0.52500347048    0.4
422    0.605421051383    0.5
423    0.650717645884    0.7
426    0.47959876433    0.7
431    0.546083923429    0.9
439    0.57916969806    0.8
440    0.621260516346    0.6
441    0.647970482707    0.6
451    0.524404605851    0.6
452    0.403543755412    0.5
453    0.546733360738    0.7
